stock,date,model_type,ADV,sigma,lambda_hat,half_life_seconds,beta,use_dynamic_target,gamma_method,gamma_clip_multiple,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,mean_local_volume,mean_gamma_prime,max_abs_gamma_prime,strategy,alpha_key
AAL,2019-02-01,reduced_form,1236722.3333333333,0.000528342622418,73.75233904848605,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,247344.46666666667,29658224.309972472,247344.46666666667,900.7502150538247,0.008339827229086603,True,34933.15081468553,0.00017759656660274926,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AAL,2019-02-04,reduced_form,1236722.3333333333,0.000528342622418,73.75233904848605,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,247344.46666666667,25357168.947155,247344.4666666667,-27.967853368609752,0.00975441963502073,True,28888.663171912583,0.00022679984890142343,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AAL,2019-02-05,reduced_form,1236722.3333333333,0.000528342622418,73.75233904848605,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,247344.46666666667,28245345.64285469,247344.4666666667,-135.4601739205737,0.008756999110373363,True,35913.53116699025,0.00019694034033331765,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AAL,2019-02-06,reduced_form,1236722.3333333333,0.000528342622418,73.75233904848605,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,247344.46666666667,24482073.998042367,247344.46666666673,-494.0521420338068,0.01010308467683109,True,25080.345501634332,0.00020535867180081126,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AAL,2019-02-07,reduced_form,1236722.3333333333,0.000528342622418,73.75233904848605,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,247344.46666666667,29382834.4437311,247344.46666666667,504.7938277086676,0.008417992047034735,True,34881.03870863076,0.0001580638007184145,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AAL,2019-02-08,reduced_form,1236722.3333333333,0.000528342622418,73.75233904848605,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,247344.46666666667,28974675.772518225,247344.46666666665,-249.45372936097988,0.008536574096931461,True,31989.950553307124,0.00018805187124752923,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AAL,2019-02-11,reduced_form,1236722.3333333333,0.000528342622418,73.75233904848605,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,247344.46666666667,25871390.384500377,247344.46666666667,-1680.4879911755093,0.00956054015615842,True,28816.674615185984,0.00019667339795283802,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AAL,2019-02-12,reduced_form,1236722.3333333333,0.000528342622418,73.75233904848605,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,247344.46666666667,30973241.444960542,247344.46666666673,-1406.6590772156712,0.007985746894014883,True,44081.19035568412,0.00020998670618520938,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AAL,2019-02-13,reduced_form,1236722.3333333333,0.000528342622418,73.75233904848605,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,247344.46666666667,29172531.796769176,247344.46666666662,706.281110110255,0.008478676735697646,True,32666.39594958316,0.00018496096484788065,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AAL,2019-02-14,reduced_form,1236722.3333333333,0.000528342622418,73.75233904848605,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,247344.46666666667,27720894.719500422,247344.46666666673,777.9540242321484,0.008922672560516988,True,29935.537308007053,0.000181536823920577,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
