daily_pnl,impact_cost,max_abs_impact,final_position,total_abs_traded,net_traded,avg_price,traded_notional,model_type,stock,date,lambda_hat,ADV,sigma,half_life_seconds,impact_cost_bps,pnl_bps,strategy,backtest_model
-49188.686526736245,24462.815055968127,0.18125308317546343,247344.4666666586,247344.46666666665,247344.46666666665,36.44128939101673,9013551.289066691,ow,AAL,2019-02-01,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.14004089114262,-54.571927256242965,overnight_only,ow
17760.567847535014,24716.414604811675,0.18313208606268794,247344.4666666588,247344.46666666673,247344.46666666673,36.73474426877614,9086135.729296828,ow,AAL,2019-02-04,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.20233919147548,19.5468881124776,overnight_only,ow
-6455.520953118801,25123.60078013702,0.18614906303509685,-247344.46666665914,247344.4666666666,-247344.4666666666,37.05982800833741,9166543.39348061,ow,AAL,2019-02-05,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.407933068865763,-7.042481201485469,overnight_only,ow
-7677.8919789381325,25113.038733183428,0.18607080533782833,-247344.46666665951,247344.46666666667,-247344.46666666667,36.88979438813941,9124486.518377336,ow,AAL,2019-02-06,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.52268709324526,-8.414601702215611,overnight_only,ow
39909.45007899776,24877.64376514667,0.18432668620750586,-247344.466666659,247344.46666666673,-247344.46666666673,36.449304368516415,9015533.749401698,ow,AAL,2019-02-07,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.594199585573772,44.26742907112548,overnight_only,ow
-13671.818582441658,24449.077544141335,0.18115129740926847,247344.46666665893,247344.46666666665,247344.46666666665,35.95290999154159,8892753.346972525,ow,AAL,2019-02-08,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.493259500405294,-15.37411198647057,overnight_only,ow
-7444.431466637179,24615.21783101985,0.18238228571406861,247344.4666666589,247344.46666666667,247344.46666666667,36.54441557586438,9039058.9802572,ow,AAL,2019-02-11,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.23205798831887,-8.235847871882514,overnight_only,ow
-90550.70098140463,25075.714776966397,0.185794259808413,247344.4666666594,247344.4666666666,247344.4666666666,36.855285934417005,9115951.043295873,ow,AAL,2019-02-12,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.507513651477737,-99.33214927475743,overnight_only,ow
-1821.578523946926,24460.362087577138,0.1812349083218019,-247344.4666666598,247344.4666666667,-247344.4666666667,36.30135172012587,8978938.480493618,ow,AAL,2019-02-13,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.241930814779817,-2.0287236936796393,overnight_only,ow
-51331.04895529337,24506.88060208987,0.18157957937298255,247344.4666666594,247344.46666666662,247344.46666666662,36.28902006152754,8975888.312974494,ow,AAL,2019-02-14,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.303014194890984,-57.18770907732353,overnight_only,ow
-49517.3684239462,24726.12464574284,0.18320403096569735,247344.46666665943,247344.46666666665,247344.46666666665,35.890162103917625,8877233.004173715,ow,AAL,2019-02-15,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.85341404705455,-55.7801833078676,overnight_only,ow
-67786.00089524314,23908.64910306929,0.17714708444539215,-247344.4666666595,247344.46666666667,-247344.46666666667,35.790904765833766,8852682.250822611,ow,AAL,2019-02-19,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.007237383729255,-76.5711441737834,overnight_only,ow
-34299.46398175508,23885.886406944657,0.17697842810536998,247344.46666665992,247344.46666666662,247344.46666666662,35.21347001445483,8709856.960207986,ow,AAL,2019-02-20,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.423970928650334,-39.38005427466403,overnight_only,ow
-26376.0426182691,23941.443636635428,0.1773900699851417,247344.46666665922,247344.46666666665,247344.46666666665,35.12004007066377,8686747.580590291,ow,AAL,2019-02-21,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.560883304736862,-30.36354213538316,overnight_only,ow
33187.83060825989,23898.55470398292,0.1770722917057575,247344.46666665995,247344.46666666676,247344.46666666676,35.47856958909002,8775427.873109695,ow,AAL,2019-02-22,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.233492257642062,37.81904550769137,overnight_only,ow
-17508.492201237008,24422.529153609255,0.18095459160798258,247344.46666665867,247344.46666666665,247344.46666666665,36.09954063712661,8929021.62580174,ow,AAL,2019-02-25,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.351853514428402,-19.608522562700045,overnight_only,ow
28479.03203290887,24490.243956763537,0.1814563129683516,-247344.4666666601,247344.4666666667,-247344.4666666667,36.47938239631156,9022973.383145072,ow,AAL,2019-02-26,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.142099302333477,31.56280177674883,overnight_only,ow
-34084.59103419259,24605.477251276745,0.18231011453890714,247344.46666665917,247344.4666666666,247344.4666666666,35.716215838115154,8834208.357830143,ow,AAL,2019-02-27,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,27.85249821447537,-38.582507513513576,overnight_only,ow
0.0,0.0,0.0,0.0,0.0,0.0,35.572018510016996,0.0,ow,AAL,2019-02-28,262.8660263951744,1236722.3333333333,0.000528342622418,1800.0,,,overnight_only,ow
-423150.8397631645,230547.38379001082,0.7116718052571346,593692.5619047617,593692.5619047622,593692.5619047622,167.3487260611856,99353693.90676352,ow,AAPL,2019-02-01,407.3922060358001,2968462.8095238097,0.0002876491912289,1800.0,23.204711845577012,-42.590347990509734,overnight_only,ow
