stock,date,ADV,sigma,lambda_hat,half_life_seconds,beta,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,strategy,model_type,alpha_key
AEP,2019-02-07,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,33602290.069608144,56056.780952380956,12.155709881885173,0.0016682428738118045,True,non_rolling_ow_day_only,ow,intraday_only
AEP,2019-02-08,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,34367412.94578785,56056.78095238094,13.745606284142134,0.001631102726318287,True,non_rolling_ow_day_only,ow,intraday_only
AEP,2019-02-11,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,34951317.40860631,56056.780952380956,-20.704691881662797,0.0016038531623010493,True,non_rolling_ow_day_only,ow,intraday_only
AEP,2019-02-12,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,34232635.773891374,56056.780952380956,-20.31125020523197,0.001637524534267223,True,non_rolling_ow_day_only,ow,intraday_only
AEP,2019-02-13,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,34359842.60259201,56056.780952380956,0.04082672052129155,0.001631462099542685,True,non_rolling_ow_day_only,ow,intraday_only
AEP,2019-02-14,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,33898224.71571335,56056.78095238094,16.997830210973703,0.0016536789587802841,True,non_rolling_ow_day_only,ow,intraday_only
AEP,2019-02-15,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,33671124.458271414,56056.78095238095,-31.982340201529663,0.0016648324596896683,True,non_rolling_ow_day_only,ow,intraday_only
AEP,2019-02-19,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,33417148.118034355,56056.78095238094,5.582326122757149,0.001677485486025918,True,non_rolling_ow_day_only,ow,intraday_only
AEP,2019-02-20,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,34479624.770355284,56056.780952380956,-8.878940524038594,0.0016257944025126736,True,non_rolling_ow_day_only,ow,intraday_only
AEP,2019-02-21,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,33740594.71834618,56056.780952380956,13.350638068640436,0.0016614046498089887,True,non_rolling_ow_day_only,ow,intraday_only
AEP,2019-02-22,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,32686457.25364306,56056.78095238094,-2.9867147816987654,0.0017149849100312991,True,non_rolling_ow_day_only,ow,intraday_only
AEP,2019-02-25,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,33805042.95282657,56056.780952380956,24.29396224423001,0.0016582372349180474,True,non_rolling_ow_day_only,ow,intraday_only
AEP,2019-02-26,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,33034434.11143587,56056.780952380956,-38.630927335156755,0.0016969196676196489,True,non_rolling_ow_day_only,ow,intraday_only
AEP,2019-02-27,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,33868394.5715573,56056.78095238094,6.2440108329002015,0.0016551354636531095,True,non_rolling_ow_day_only,ow,intraday_only
AEP,2019-02-28,280283.90476190473,0.0002608355109743,270.2363453816733,1800.0,0.0003850817669777474,0.2,56056.78095238095,34577156.41472921,56056.78095238094,1.7290183099424894,0.0016212085308583049,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-01,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,52703940.7793586,73593.3619047619,45.80484789400333,0.0013963540641648681,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-04,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,51037042.59375389,73593.3619047619,54.69064565336503,0.0014419597642158159,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-05,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,50316331.42241405,73593.3619047619,-50.91026016614005,0.001462613823868304,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-06,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,50976146.0234466,73593.36190476191,12.723415883244115,0.0014436823425394395,True,non_rolling_ow_day_only,ow,intraday_only
