stock,date,ADV,sigma,lambda_hat,half_life_seconds,beta,c,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,apply_terminal_condition,strategy,model_type,alpha_key
AAL,2019-02-01,1236722.3333333333,0.000528342622418,0.7706080899853757,300.0,0.0023104906018664843,0.5,0.2,247344.46666666667,44217976.69037026,247344.4666666667,3127.2011886506707,0.005593753608371979,True,True,non_rolling_afs_day_only,afs,intraday_only
AAL,2019-02-04,1236722.3333333333,0.000528342622418,0.7706080899853757,300.0,0.0023104906018664843,0.5,0.2,247344.46666666667,30831269.770278856,247344.46666666667,-18.162103176844482,0.008022519620813838,True,True,non_rolling_afs_day_only,afs,intraday_only
AAL,2019-02-05,1236722.3333333333,0.000528342622418,0.7706080899853757,300.0,0.0023104906018664843,0.5,0.2,247344.46666666667,29944045.445746906,247344.46666666665,-159.81654889055778,0.008260222123787825,True,True,non_rolling_afs_day_only,afs,intraday_only
AAL,2019-02-06,1236722.3333333333,0.000528342622418,0.7706080899853757,300.0,0.0023104906018664843,0.5,0.2,247344.46666666667,36468771.84632625,247344.46666666667,-1989.2993890023058,0.006782363489204899,True,True,non_rolling_afs_day_only,afs,intraday_only
AAL,2019-02-07,1236722.3333333333,0.000528342622418,0.7706080899853757,300.0,0.0023104906018664843,0.5,0.2,247344.46666666667,34102191.18176201,247344.4666666667,1981.2280887821314,0.00725303735904652,True,True,non_rolling_afs_day_only,afs,intraday_only
AAL,2019-02-08,1236722.3333333333,0.000528342622418,0.7706080899853757,300.0,0.0023104906018664843,0.5,0.2,247344.46666666667,36835430.45980227,247344.46666666665,-725.4200111163832,0.00671485207527542,True,True,non_rolling_afs_day_only,afs,intraday_only
AAL,2019-02-11,1236722.3333333333,0.000528342622418,0.7706080899853757,300.0,0.0023104906018664843,0.5,0.2,247344.46666666667,53000766.31317575,247344.46666666665,-4704.808987296956,0.00466680925338202,True,True,non_rolling_afs_day_only,afs,intraday_only
AAL,2019-02-12,1236722.3333333333,0.000528342622418,0.7706080899853757,300.0,0.0023104906018664843,0.5,0.2,247344.46666666667,46278311.62302435,247344.4666666667,-4228.78988085679,0.005344716736459505,True,True,non_rolling_afs_day_only,afs,intraday_only
AAL,2019-02-13,1236722.3333333333,0.000528342622418,0.7706080899853757,300.0,0.0023104906018664843,0.5,0.2,247344.46666666667,37048013.09657069,247344.46666666667,2164.95673309106,0.006676322047876889,True,True,non_rolling_afs_day_only,afs,intraday_only
AAL,2019-02-14,1236722.3333333333,0.000528342622418,0.7706080899853757,300.0,0.0023104906018664843,0.5,0.2,247344.46666666667,39496402.2397608,247344.46666666673,2678.278615688898,0.006262455632418753,True,True,non_rolling_afs_day_only,afs,intraday_only
