daily_pnl,impact_cost,max_abs_impact,final_position,total_abs_traded,net_traded,avg_price,traded_notional,model_type,stock,date,lambda_hat,ADV,sigma,half_life_seconds,impact_cost_bps,pnl_bps
-31796.841025686645,3907.536576799793,0.008358920237944522,8.131394224619726e-09,494688.93333333347,0.0,36.28702092289494,17950787.67419125,afs,AAL,2019-02-01,0.7706080899853757,1236722.3333333333,0.000528342622418,300.0,2.176805078262863,-17.713340273865843
20559.3236849754,3944.1360056509284,0.008437212968033698,8.131394224619726e-09,494688.93333333347,0.0,36.64312020686644,18126946.049139876,afs,AAL,2019-02-04,0.7706080899853757,1236722.3333333333,0.000528342622418,300.0,2.1758414213618065,11.341857381404266
-14642.161904199145,4014.2021586783694,0.008587097012117465,8.131394224619726e-09,494688.93333333347,0.0,36.943045336749066,18275315.691721376,afs,AAL,2019-02-05,0.7706080899853757,1236722.3333333333,0.000528342622418,300.0,2.196515905055901,-8.011988493764827
-31409.76425030859,4011.056709869997,0.008580368334039868,8.131394224619726e-09,494688.93333333347,0.0,36.81037393905268,18209684.61951111,afs,AAL,2019-02-06,0.7706080899853757,1236722.3333333333,0.000528342622418,300.0,2.202705205323696,-17.24893368919416
-25530.63988897021,3973.9842504780854,0.008501063706945316,8.131394224619726e-09,494688.93333333347,0.0,36.314374881300374,17964319.37469728,afs,AAL,2019-02-07,0.7706080899853757,1236722.3333333333,0.000528342622418,300.0,2.2121540858795,-14.21186038638908
68605.64543803674,3905.8316305422704,0.008355273052691995,8.131394224619726e-09,494688.93333333347,0.0,35.82290256905861,17721193.460791536,afs,AAL,2019-02-08,0.7706080899853757,1236722.3333333333,0.000528342622418,300.0,2.2040454776276746,38.71389677553489
21919.342508478676,3932.5135631297226,0.008412350482911569,8.131394224619726e-09,494688.93333333347,0.0,36.449042656054715,18030938.032544877,afs,AAL,2019-02-11,0.7706080899853757,1236722.3333333333,0.000528342622418,300.0,2.1809811314484837,12.156518129514636
-105271.05877802652,4006.574833484808,0.008570780798137438,8.131394224619726e-09,494688.93333333347,0.0,36.63491270311945,18122885.887865946,afs,AAL,2019-02-12,0.7706080899853757,1236722.3333333333,0.000528342622418,300.0,2.210781913142974,-58.0873595018937
22929.47406879324,3907.4971875089177,0.008358835977200142,8.131394224619726e-09,494688.93333333347,0.0,36.15723780417379,17886585.40162641,afs,AAL,2019-02-13,0.7706080899853757,1236722.3333333333,0.000528342622418,300.0,2.184596500544823,12.819369127160673
-11402.27285037706,3914.6159983303746,0.00837406438790751,8.131394224619726e-09,494688.93333333347,0.0,36.17424922148365,17895000.761509914,afs,AAL,2019-02-14,0.7706080899853757,1236722.3333333333,0.000528342622418,300.0,2.187547265575011,-6.371764383996023
-125816.99197189475,3949.97176423406,0.008449696700320152,8.131394224619726e-09,494688.93333333347,0.0,35.640013175253046,17630720.10165188,afs,AAL,2019-02-15,0.7706080899853757,1236722.3333333333,0.000528342622418,300.0,2.24039162408572,-71.36236707660427
