stock,date,ADV,sigma,lambda_hat,half_life_seconds,beta,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,strategy,model_type,alpha_key,c,apply_terminal_condition,use_dynamic_target,gamma_method,gamma_clip_multiple,mean_local_volume,mean_gamma_prime,max_abs_gamma_prime
AAL,2019-02-01,1236722.3333333333,0.000528342622418,262.8660263951744,1800.0,0.0003850817669777474,0.2,247344.46666666667,155566452.11787158,247344.46666666667,86.49793398633918,0.0015899601957834427,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAL,2019-02-04,1236722.3333333333,0.000528342622418,262.8660263951744,1800.0,0.0003850817669777474,0.2,247344.46666666667,148622849.74731612,247344.46666666665,-5.9517299407383035,0.0016642425245323577,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAL,2019-02-05,1236722.3333333333,0.000528342622418,262.8660263951744,1800.0,0.0003850817669777474,0.2,247344.46666666667,147091038.18931407,247344.4666666667,-1.6916960927800204,0.0016815740082568528,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAL,2019-02-06,1236722.3333333333,0.000528342622418,262.8660263951744,1800.0,0.0003850817669777474,0.2,247344.46666666667,152259376.80690968,247344.4666666667,-62.322555373766775,0.0016244941484315988,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAL,2019-02-07,1236722.3333333333,0.000528342622418,262.8660263951744,1800.0,0.0003850817669777474,0.2,247344.46666666667,151514363.9837864,247344.46666666665,57.82054044208694,0.0016324819651629535,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAL,2019-02-08,1236722.3333333333,0.000528342622418,262.8660263951744,1800.0,0.0003850817669777474,0.2,247344.46666666667,158160320.3355291,247344.46666666667,-31.176892119688873,0.001563884456872229,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAL,2019-02-11,1236722.3333333333,0.000528342622418,262.8660263951744,1800.0,0.0003850817669777474,0.2,247344.46666666667,149264781.790905,247344.46666666673,-185.08400053809513,0.0016570852393912646,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAL,2019-02-12,1236722.3333333333,0.000528342622418,262.8660263951744,1800.0,0.0003850817669777474,0.2,247344.46666666667,144542014.93985823,247344.46666666667,-146.38300884167714,0.001711228854596935,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAL,2019-02-13,1236722.3333333333,0.000528342622418,262.8660263951744,1800.0,0.0003850817669777474,0.2,247344.46666666667,157205286.3113613,247344.4666666667,70.58940763093011,0.0015733851734271544,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAL,2019-02-14,1236722.3333333333,0.000528342622418,262.8660263951744,1800.0,0.0003850817669777474,0.2,247344.46666666667,156244199.82989007,247344.46666666667,86.16011883827662,0.0015830633517017686,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAL,2019-02-15,1236722.3333333333,0.000528342622418,262.8660263951744,1800.0,0.0003850817669777474,0.2,247344.46666666667,153395955.32275635,247344.46666666673,109.13366971803747,0.0016124575523926675,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAL,2019-02-19,1236722.3333333333,0.000528342622418,262.8660263951744,1800.0,0.0003850817669777474,0.2,247344.46666666667,154194683.3225243,247344.46666666667,84.91414746848844,0.0016041050270799793,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
